регистрационный_номер;год;период;решений_об_осуществлении_и_отказе;отказов_по_статье_27;решений_об_устранении_ошибок;решений_о_приостановлении
32804;2019;3;15;0;0;1
32804;2019;6;30;0;0;4
32804;2019;9;38;0;0;7
32804;2019;12;70;0;0;10
32804;2020;3;10;0;0;5
32804;2020;6;15;0;0;5
32804;2020;9;20;0;0;5
32804;2020;12;25;0;0;5
32804;2021;3;9;0;0;0
32804;2021;6;17;0;0;0
32804;2021;9;24;0;0;0
32804;2021;12;27;0;0;0
32804;2022;3;2;0;0;0
32804;2022;6;5;0;0;0
32804;2022;9;5;0;0;0
32804;2022;12;5;0;0;0
32804;2023;3;1;0;0;0
32804;2023;6;1;0;0;0
32804;2023;9;1;0;0;0
32804;2023;12;1;0;0;0
32804;2024;3;0;0;0;0
32804;2024;6;0;0;0;0
32804;2024;9;0;0;0;0
32804;2024;12;0;0;0;0
32804;2025;3;0;0;0;0
32804;2025;6;0;0;0;0
32804;2025;9;0;0;0;0
32804;2025;12;0;0;0;0
32804;2026;3;0;0;0;0
29102;2014;9;20;0;0;0
29102;2014;12;50;0;0;0
29102;2015;3;87;0;0;0
29102;2015;6;133;0;0;0
29102;2015;9;189;0;0;0
29102;2015;12;221;0;0;0
29102;2016;3;15;0;0;0
29102;2016;6;53;0;0;0
29102;2016;9;79;0;0;0
29102;2016;12;96;0;0;0
29102;2017;3;4;0;0;0
29102;2017;6;6;0;0;0
29102;2017;9;9;0;0;0
29102;2017;12;9;0;0;0
29102;2018;3;0;0;0;0
29102;2018;6;0;0;0;0
29102;2018;9;0;0;0;0
29102;2018;12;0;0;0;0
29102;2019;3;1;0;0;0
29102;2019;6;1;0;0;0
29102;2019;9;1;0;0;0
29102;2019;12;1;0;0;0
29102;2020;3;0;0;0;0
29102;2020;6;0;0;0;0
29102;2020;9;0;0;0;0
29102;2020;12;0;0;0;0
29102;2021;3;0;0;0;0
29102;2021;6;0;0;0;0
29102;2021;9;0;0;0;0
29102;2021;12;0;0;0;0
29102;2022;3;0;0;0;0
29102;2022;6;0;0;0;0
29102;2022;12;0;0;0;0
29102;2023;3;0;0;0;0
29102;2023;6;0;0;0;0
29102;2023;9;0;0;0;0
29102;2023;12;0;0;0;0
29102;2024;3;0;0;0;0
29102;2024;6;0;0;0;0
29102;2024;9;0;0;0;0
